date,code,name,sector,label,rank_score,entry,tp1,stop,outcome,exit_price,days_held,method,fill_date,ret_pct,net_pct,tp2,tp3,tp1_hit,tp1_day,tp2_hit,tp2_day,tp3_hit,tp3_day,stop_hit,stop_day,tp1_before_stop,tp2_before_stop,tp3_before_stop,max_high_pct,min_low_pct,max_close_pct
20260410,282330,BGF리테일,종합 소매업,🏆 최강,57.65,131100.0,147800.0,123900.0,OPEN,134500.0,10,ohlc_horizon_close,2026-04-13,2.59,2.37,159400.0,174200.0,False,0,False,0,False,0,False,0,False,False,False,4.96,-4.42,4.81
20260410,356860,티엘비,전자부품 제조업,🏆 최강,43.39,74500.0,84000.0,63300.0,WIN,84000.0,4,ohlc_high_touch,2026-04-13,12.75,12.53,99100.0,107400.0,True,4,False,0,False,0,False,0,True,False,False,19.87,-7.92,13.83
20260413,175330,JB금융지주,기타 금융업,🏆 최강,60.06,31150.0,38500.0,27750.0,LOSS,27750.0,10,ohlc_low_touch,2026-04-14,-10.91,-11.13,42750.0,48050.0,False,0,False,0,False,0,True,10,False,False,False,3.37,-12.04,0.48
20260413,009410,태영건설,토목 건설업,🏆 최강,57.16,1949.0,2225.0,1674.0,WIN,2225.0,2,ohlc_high_touch,2026-04-14,14.16,13.94,2430.0,2650.0,True,2,False,0,False,0,False,0,True,False,False,16.73,-1.13,9.03
20260413,356860,티엘비,전자부품 제조업,🏆 최강,40.73,74500.0,84000.0,63300.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,99500.0,107400.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260414,139130,iM금융지주,기타 금융업,🏆 최강,65.66,18290.0,22000.0,16900.0,OPEN,19280.0,10,ohlc_horizon_close,2026-04-15,5.41,5.19,24250.0,27100.0,False,0,False,0,False,0,False,0,False,False,False,6.67,-0.33,5.41
20260414,025820,이구산업,1차 비철금속 제조업,🏆 최강,59.97,5500.0,6550.0,5020.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,7180.0,0.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260414,001120,LX인터내셔널,상품 중개업,🏆 최강,50.35,48950.0,54500.0,43800.0,WIN,54500.0,8,ohlc_gap_up,2026-04-15,11.34,11.12,60700.0,67100.0,True,8,False,0,False,0,False,0,True,False,False,15.83,-2.04,13.79
20260415,252990,샘씨엔에스,전자부품 제조업,🏆 최강,66.53,10650.0,13010.0,9260.0,WIN,13010.0,3,ohlc_high_touch,2026-04-16,22.16,21.94,14330.0,16500.0,True,3,True,10,False,0,False,0,True,True,False,40.09,-2.25,31.46
20260415,011280,태림포장,"골판지, 종이 상자 및 종이용기 제조업",🏆 최강,54.01,2215.0,2830.0,1882.0,OPEN,2095.0,10,ohlc_horizon_close,2026-04-16,-5.42,-5.64,3020.0,3110.0,False,0,False,0,False,0,False,0,False,False,False,5.64,-6.09,2.03
20260415,036200,유니셈,특수 목적용 기계 제조업,🏆 최강,51.76,10870.0,12810.0,9780.0,OPEN,11870.0,10,ohlc_horizon_close,2026-04-16,9.2,8.98,14690.0,0.0,False,0,False,0,False,0,False,0,False,False,False,15.92,-3.22,11.78
20260416,017800,현대엘리베이터,일반 목적용 기계 제조업,🏆 최강,76.39,99500.0,113400.0,92000.0,OPEN,98700.0,10,ohlc_horizon_close,2026-04-17,-0.8,-1.02,122000.0,0.0,False,0,False,0,False,0,False,0,False,False,False,4.62,-5.03,2.71
20260416,368770,파이버프로,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",🏆 최강,62.63,23550.0,29950.0,20000.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,33400.0,34900.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260416,012330,현대모비스,자동차 신품 부품 제조업,🏆 최강,60.71,427000.0,531000.0,390000.0,OPEN,425000.0,10,ohlc_horizon_close,2026-04-17,-0.47,-0.69,557000.0,0.0,False,0,False,0,False,0,False,0,False,False,False,10.54,-1.99,6.91
20260417,096770,SK이노베이션,석유 정제품 제조업,🏆 최강,61.48,129400.0,149000.0,118000.0,WIN,149000.0,8,ohlc_high_touch,2026-04-20,15.15,14.93,164000.0,0.0,True,8,False,0,False,0,False,0,True,False,False,20.09,-1.7,15.77
20260417,129920,대성하이텍,특수 목적용 기계 제조업,🏆 최강,60.0,12560.0,15350.0,10670.0,LOSS,10670.0,8,ohlc_low_touch,2026-04-20,-15.05,-15.27,16120.0,18780.0,False,0,False,0,False,0,True,8,False,False,False,4.7,-19.51,4.3
20260417,012450,한화에어로스페이스,"항공기,우주선 및 부품 제조업",🏆 최강,57.7,1423000.0,1570000.0,1367000.0,OPEN,1465000.0,10,ohlc_horizon_close,2026-04-20,2.95,2.73,1655000.0,1711000.0,False,0,False,0,False,0,False,0,False,False,False,7.17,-3.09,2.95
20260420,017800,현대엘리베이터,일반 목적용 기계 제조업,🏆 최강,60.62,102200.0,116500.0,94600.0,LOSS,94600.0,4,ohlc_low_touch,2026-04-21,-7.44,-7.66,125000.0,0.0,False,0,False,0,False,0,True,4,False,False,False,0.78,-7.53,-2.05
20260420,451760,컨텍,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",🏆 최강,60.28,20400.0,23950.0,17340.0,WIN,23950.0,8,ohlc_high_touch,2026-04-21,17.4,17.18,26350.0,27000.0,True,8,False,0,False,0,False,0,True,False,False,19.36,-2.06,13.48
20260420,307180,아이엘,전구 및 조명장치 제조업,🏆 최강,57.5,5060.0,5980.0,4300.0,NOT_FILLED,0.0,0,not_filled_gap_up,,0.0,0.0,9800.0,11480.0,False,0,False,0,False,0,False,0,False,False,False,0.0,0.0,0.0
20260421,310210,보로노이,자연과학 및 공학 연구개발업,🏆 최강,66.45,308000.0,371500.0,261500.0,OPEN,295000.0,10,ohlc_horizon_close,2026-04-22,-4.22,-4.44,395500.0,430500.0,False,0,False,0,False,0,False,0,False,False,False,5.84,-10.88,2.6
20260421,096770,SK이노베이션,석유 정제품 제조업,🏆 최강,55.99,131500.0,150600.0,120500.0,WIN,150600.0,6,ohlc_high_touch,2026-04-24,14.52,14.3,163900.0,0.0,True,6,False,0,False,0,False,0,True,False,False,18.17,-2.13,13.92
20260421,340570,티앤엘,의료용품 및 기타 의약 관련제품 제조업,🏆 최강,44.43,61300.0,68000.0,54500.0,OPEN,59800.0,10,ohlc_horizon_close,2026-04-22,-2.45,-2.67,73900.0,83400.0,False,0,False,0,False,0,False,0,False,False,False,4.4,-3.59,3.43
20260422,310210,보로노이,자연과학 및 공학 연구개발업,🏆 최강,62.33,298000.0,371500.0,253000.0,OPEN,284500.0,10,ohlc_horizon_close,2026-04-23,-4.53,-4.75,382000.0,429000.0,False,0,False,0,False,0,False,0,False,False,False,9.4,-7.89,6.04
20260423,307180,아이엘,전구 및 조명장치 제조업,🏆 최강,83.63,5670.0,6580.0,4815.0,WIN,6700.0,6,ohlc_gap_up,2026-04-24,18.17,17.95,9800.0,11480.0,True,6,False,0,False,0,False,0,True,False,False,53.26,-5.64,41.09
